platform,query,brand,mentioned,position,sentiment_score,accuracy_score,date
ChatGPT,What is the best CRM software for small business?,TechFlow Solutions,True,3.0,-0.51,0.66,2025-07-23 12:22:48.133741
ChatGPT,What is the best CRM software for small business?,DataVise Analytics,False,,,,2025-07-25 12:22:48.133761
ChatGPT,What is the best CRM software for small business?,CloudShift Pro,True,1.0,-0.56,0.8,2025-08-02 12:22:48.133772
ChatGPT,What is the best CRM software for small business?,AI Insights Corp,False,,,,2025-05-08 12:22:48.133777
ChatGPT,What is the best CRM software for small business?,DigitalEdge Systems,True,5.0,-0.44,0.95,2025-07-16 12:22:48.133784
ChatGPT,Top CRM software for enterprise companies,TechFlow Solutions,True,2.0,-0.57,0.91,2025-07-23 12:22:48.133791
ChatGPT,Top CRM software for enterprise companies,DataVise Analytics,True,3.0,0.21,0.92,2025-06-08 12:22:48.133796
ChatGPT,Top CRM software for enterprise companies,CloudShift Pro,False,,,,2025-06-18 12:22:48.133799
ChatGPT,Top CRM software for enterprise companies,AI Insights Corp,False,,,,2025-05-17 12:22:48.133802
ChatGPT,Top CRM software for enterprise companies,DigitalEdge Systems,False,,,,2025-05-24 12:22:48.133806
ChatGPT,How to choose CRM software for my company?,TechFlow Solutions,True,2.0,0.55,0.99,2025-07-07 12:22:48.133811
ChatGPT,How to choose CRM software for my company?,DataVise Analytics,True,4.0,0.27,0.75,2025-06-19 12:22:48.133816
ChatGPT,How to choose CRM software for my company?,CloudShift Pro,False,,,,2025-05-08 12:22:48.133820
ChatGPT,How to choose CRM software for my company?,AI Insights Corp,True,5.0,0.27,0.81,2025-07-05 12:22:48.133825
ChatGPT,How to choose CRM software for my company?,DigitalEdge Systems,False,,,,2025-05-16 12:22:48.133828
ChatGPT,Compare CRM software options,TechFlow Solutions,True,3.0,0.69,0.91,2025-07-07 12:22:48.133833
ChatGPT,Compare CRM software options,DataVise Analytics,False,,,,2025-06-15 12:22:48.133836
ChatGPT,Compare CRM software options,CloudShift Pro,True,5.0,0.75,0.73,2025-05-14 12:22:48.133842
ChatGPT,Compare CRM software options,AI Insights Corp,False,,,,2025-05-15 12:22:48.133844
ChatGPT,Compare CRM software options,DigitalEdge Systems,True,2.0,0.49,0.82,2025-05-23 12:22:48.133849
ChatGPT,Reviews of CRM software providers,TechFlow Solutions,False,,,,2025-06-20 12:22:48.133852
ChatGPT,Reviews of CRM software providers,DataVise Analytics,False,,,,2025-06-01 12:22:48.133855
ChatGPT,Reviews of CRM software providers,CloudShift Pro,False,,,,2025-07-22 12:22:48.133858
ChatGPT,Reviews of CRM software providers,AI Insights Corp,True,4.0,0.19,0.75,2025-05-21 12:22:48.133863
ChatGPT,Reviews of CRM software providers,DigitalEdge Systems,True,5.0,0.72,0.6,2025-07-22 12:22:48.133868
ChatGPT,Affordable CRM software solutions,TechFlow Solutions,True,3.0,0.54,0.74,2025-06-29 12:22:48.133980
ChatGPT,Affordable CRM software solutions,DataVise Analytics,False,,,,2025-07-03 12:22:48.133988
ChatGPT,Affordable CRM software solutions,CloudShift Pro,True,5.0,0.83,0.95,2025-06-28 12:22:48.133996
ChatGPT,Affordable CRM software solutions,AI Insights Corp,True,2.0,-0.69,0.91,2025-05-28 12:22:48.134002
ChatGPT,Affordable CRM software solutions,DigitalEdge Systems,False,,,,2025-08-05 12:22:48.134004
ChatGPT,Best CRM software for startups,TechFlow Solutions,True,1.0,0.86,0.95,2025-06-27 12:22:48.134011
ChatGPT,Best CRM software for startups,DataVise Analytics,True,5.0,0.89,0.63,2025-06-04 12:22:48.134016
